"datetime","lake","variable","unit","observation","depth","depth_id"
2024-05-16 05:00:00,"peter","do","degC",16.7625,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.7391666666667,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.1234166666667,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.7880833333333,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.1935,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",10.0242083333333,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.176775,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.80109166666667,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.83125,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.20514166666667,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.60048333333333,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.6306666666667,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.6213333333333,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.1915833333333,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.7755833333333,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.2366666666667,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.71913333333333,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.104225,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.86365833333333,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.94234166666667,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.296675,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.73361666666667,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.5190833333333,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.5075,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.2355833333333,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.7038333333333,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.1195833333333,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.923325,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.15185,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.836125,4,NA
2024-05-16 05:00:00,"peter","do","degC",6.001025,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.34778333333333,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.670125,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.41575,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.4130833333333,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.2840833333333,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.6874166666667,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.1230833333333,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",10.1502166666667,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.2371,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.6632,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.74830833333333,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.21964166666667,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.618225,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.3189166666667,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.3189166666667,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.2711666666667,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.7383333333333,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.2115833333333,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.68610833333333,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.172225,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.89891666666667,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.915625,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.32493333333333,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.70930833333333,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.2208333333333,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.2255,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.1880833333333,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.9005833333333,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.1035,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.88824166666667,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.1892,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.79793333333333,4,NA
2024-05-16 05:00:00,"peter","do","degC",6.02165,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.38474166666667,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.717725,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.1661666666667,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.1590833333333,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.1331666666667,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.666,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.2063333333333,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",10.0726666666667,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.14511666666667,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.78329166666667,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.92106666666667,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.28265833333333,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.63860833333333,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.18475,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.1593333333333,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.05225,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.8119166666667,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.113,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.98549166666667,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.31553333333333,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.76070833333333,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.78458333333333,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.21365833333333,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.650025,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.1588333333333,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.1536666666667,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.0165,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.82825,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.2694166666667,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.82913333333333,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.1721,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",7.00666666666667,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.90506666666667,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.32454166666667,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.73680833333333,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.1306666666667,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.1239166666667,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.05125,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.978,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.1855833333333,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.97853333333333,3,NA
2024-05-16 05:00:00,"peter","do","degC",7.99846666666667,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.81688333333333,4,NA
2024-05-16 05:00:00,"peter","do","degC",6.01166666666667,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.460575,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.71885,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.1603333333333,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.1365,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.0131666666667,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.81125,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.26875,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",10.0399416666667,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.27753333333333,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.78333333333333,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.89813333333333,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.28151666666667,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.619825,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.1723333333333,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.1165833333333,1,NA
2024-05-16 05:00:00,"peter","do","degC",15.9869166666667,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.93675,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.24525,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.982625,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.21539166666667,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.83635,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.88996666666667,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.34363333333333,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.69445833333333,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.164,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.15375,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.0264166666667,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.9570833333333,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.2375,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.85470833333333,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.21274166666667,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.94870833333333,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.976525,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.33778333333333,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.7287,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.1875,0.5,NA
